,prefix,Uniprot ID 1,Uniprot ID 2,Sequence Length 1,Sequence Length 2,PDB,Chain 1,Chain 2,N residue contacts (5Ang),PFAM domains 1,PFAM domains 2,Chain start 1,Chain end 1,Chain start 2,Chain end 2,Protein name 1,Gene name 1,Protein name 2,Gene name 2,Organism 1,Organism 2,Resolution (Ang),contains DNA,contains RNA,Org1,Org2,kingdom1,kingdom2
179,allpdb0205,CO8A_HUMAN,CO8G_HUMAN,584,202,3OJY,A,C,73,PF00057;PF01823;PF00090;,PF00061;,31,584,21,202,Complement component C8 alpha chain (Complement component 8 subunit alpha),C8A,Complement component C8 gamma chain,C8G,Homo sapiens (Human),Homo sapiens (Human),2.51,N,N,Homo sapiens,Homo sapiens,E,E
180,allpdb0206,WASF1_HUMAN,CYFP1_HUMAN,559,1253,3P8C,D,A,181,PF02205;,PF07159;PF05994;,1,186,1,1253,Wiskott-Aldrich syndrome protein family member 1 (WASP family protein member 1) (Protein WAVE-1) (Verprolin homology domain-containing protein 1),WASF1 KIAA0269 SCAR1 WAVE1,Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1),CYFIP1 KIAA0068,Homo sapiens (Human),Homo sapiens (Human),2.29,N,N,Homo sapiens,Homo sapiens,E,E
181,allpdb0207,CYFP1_HUMAN,NCKP1_HUMAN,1253,1128,3P8C,A,B,430,PF07159;PF05994;,PF09735;,1,1253,1,1128,Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1),CYFIP1 KIAA0068,Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1),NCKAP1 HEM2 KIAA0587 NAP1,Homo sapiens (Human),Homo sapiens (Human),2.29,N,N,Homo sapiens,Homo sapiens,E,E
182,allpdb0208,WASF1_HUMAN,ABI2_HUMAN,559,513,3P8C,D,F,118,PF02205;,PF07815;PF14604;,1,186,1,154,Wiskott-Aldrich syndrome protein family member 1 (WASP family protein member 1) (Protein WAVE-1) (Verprolin homology domain-containing protein 1),WASF1 KIAA0269 SCAR1 WAVE1,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),ABI2 ARGBPIA,Homo sapiens (Human),Homo sapiens (Human),2.29,N,N,Homo sapiens,Homo sapiens,E,E
183,allpdb0209,CYFP1_HUMAN,ABI2_HUMAN,1253,513,3P8C,A,F,70,PF07159;PF05994;,PF07815;PF14604;,1,1253,1,154,Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1),CYFIP1 KIAA0068,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),ABI2 ARGBPIA,Homo sapiens (Human),Homo sapiens (Human),2.29,N,N,Homo sapiens,Homo sapiens,E,E
184,allpdb0210,ABI2_HUMAN,NCKP1_HUMAN,513,1128,3P8C,F,B,120,PF07815;PF14604;,PF09735;,1,154,1,1128,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),ABI2 ARGBPIA,Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1),NCKAP1 HEM2 KIAA0587 NAP1,Homo sapiens (Human),Homo sapiens (Human),2.29,N,N,Homo sapiens,Homo sapiens,E,E
185,allpdb0211,MALF_ECOLI,MALE_ECOLI,514,396,3RLF,F,E,130,PF00528;PF14785;,PF13416;,1,514,27,396,Maltose transport system permease protein MalF,malF b4033 JW3993,Maltose-binding periplasmic protein (MBP) (MMBP) (Maltodextrin-binding protein),malE b4034 JW3994,Escherichia coli (strain K12),Escherichia coli (strain K12),2.2,N,N,Escherichia coli,Escherichia coli,B,B
186,allpdb0212,MALK_ECOLI,MALF_ECOLI,371,514,3RLF,B,F,50,PF00005;PF08402;,PF00528;PF14785;,1,371,1,514,Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19),malK b4035 JW3995,Maltose transport system permease protein MalF,malF b4033 JW3993,Escherichia coli (strain K12),Escherichia coli (strain K12),2.2,N,N,Escherichia coli,Escherichia coli,B,B
187,allpdb0214,MALG_ECOLI,MALE_ECOLI,296,396,3RLF,G,E,56,PF00528;,PF13416;,1,296,27,396,Maltose transport system permease protein MalG,malG b4032 JW3992,Maltose-binding periplasmic protein (MBP) (MMBP) (Maltodextrin-binding protein),malE b4034 JW3994,Escherichia coli (strain K12),Escherichia coli (strain K12),2.2,N,N,Escherichia coli,Escherichia coli,B,B
188,allpdb0215,MALK_ECOLI,MALG_ECOLI,371,296,3RLF,A,G,72,PF00005;PF08402;,PF00528;,1,371,1,296,Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19),malK b4035 JW3995,Maltose transport system permease protein MalG,malG b4032 JW3992,Escherichia coli (strain K12),Escherichia coli (strain K12),2.2,N,N,Escherichia coli,Escherichia coli,B,B
189,allpdb0216,MARE1_HUMAN,DCTN1_HUMAN,268,1278,3TQ7,A,Q,46,PF00307;PF03271;,PF01302;PF12455;,191,268,27,97,Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1),MAPRE1,Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued),DCTN1,Homo sapiens (Human),Homo sapiens (Human),2.3,N,N,Homo sapiens,Homo sapiens,E,E
190,allpdb0217,HBA_PIG,HPT_PIG,141,347,4F4O,D,F,57,PF00042;,PF00089;,1,141,1,347,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain),HBA,Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain],HP,Sus scrofa (Pig),Sus scrofa (Pig),2.9,N,N,Sus scrofa,Sus scrofa,E,E
191,allpdb0218,Q5B5Z6_EMENI,P87249_EMEND,219,369,4G91,B,A,29,PF00808;,PF02045;,41,132,231,293,Transcription factor HapC (Eurofung),ANIA_04034,HAPB protein,hapB,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),Emericella nidulans (Aspergillus nidulans),1.9,N,N,Emericella nidulans,Emericella nidulans,E,E
192,allpdb0219,W5QC38_SHEEP,KINH_HUMAN,454,963,4LNU,A,K,46,PF00091;PF03953;,PF00225;,4,454,1,325,Tubulin alpha chain,LOC106990101,Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC),KIF5B KNS KNS1,Ovis aries (Sheep),Homo sapiens (Human),2.19,N,N,Ovis aries,Homo sapiens,E,E
193,allpdb0220,HBA_HUMAN,ISDH_STAA3,142,895,4XS0,A,C,85,PF00042;,PF05031;PF04650;,2,142,326,660,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain),HBA1; HBA2,Iron-regulated surface determinant protein H (Haptoglobin receptor A) (Staphylococcus aureus surface protein I),isdH harA sasI SAUSA300_1677,Homo sapiens (Human),Staphylococcus aureus (strain USA300),2.55,N,N,Homo sapiens,Staphylococcus aureus,E,B
194,allpdb0221,SUFC_ECOLI,SUFD_ECOLI,248,423,5AWF,D,B,65,PF00005;,PF01458;,1,248,1,423,Probable ATP-dependent transporter SufC,sufC ynhD b1682 JW1672,FeS cluster assembly protein SufD,sufD ynhC b1681 JW1671,Escherichia coli (strain K12),Escherichia coli (strain K12),2.96,N,N,Escherichia coli,Escherichia coli,B,B
195,allpdb0222,H33_HUMAN,MCM2_HUMAN,136,904,5BNX,A,C,52,PF00125;,PF00493;PF12619;PF14551;PF17207;,58,136,61,130,Histone H3.3,H3F3A H3.3A H3F3 PP781; H3F3B H3.3B,DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28),MCM2 BM28 CCNL1 CDCL1 KIAA0030,Homo sapiens (Human),Homo sapiens (Human),2.31,N,N,Homo sapiens,Homo sapiens,E,E
196,allpdb0223,MCM2_HUMAN,H4_HUMAN,904,103,5BNX,C,B,73,PF00493;PF12619;PF14551;PF17207;,PF15511;,61,130,2,103,DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28),MCM2 BM28 CCNL1 CDCL1 KIAA0030,Histone H4,HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4,Homo sapiens (Human),Homo sapiens (Human),2.31,N,N,Homo sapiens,Homo sapiens,E,E
197,allpdb0224,ASF1B_HUMAN,H4_HUMAN,202,103,5BNX,D,B,36,PF04729;,PF15511;,1,158,2,103,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),ASF1B,Histone H4,HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4,Homo sapiens (Human),Homo sapiens (Human),2.31,N,N,Homo sapiens,Homo sapiens,E,E
198,allpdb0225,H33_HUMAN,ASF1B_HUMAN,136,202,5BNX,A,D,51,PF00125;,PF04729;,58,136,1,158,Histone H3.3,H3F3A H3.3A H3F3 PP781; H3F3B H3.3B,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),ASF1B,Homo sapiens (Human),Homo sapiens (Human),2.31,N,N,Homo sapiens,Homo sapiens,E,E
199,allpdb0226,ARP4_YEAST,SWR1_YEAST,489,1514,5I9E,A,E,66,PF00022;,PF00271;PF07529;PF00176;,1,489,340,410,Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4),ARP4 ACT3 YJL081C J1012,Helicase SWR1 (EC 3.6.4.12) (Swi2/Snf2-related 1),SWR1 YDR334W D9651.6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.8,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
200,allpdb0227,INLR1_HUMAN,JAK1_HUMAN,520,1154,5IXI,B,A,26,PF01108;,PF07714;,250,260,35,559,Interferon lambda receptor 1 (IFN-lambda receptor 1) (IFN-lambda-R1) (Cytokine receptor class-II member 12) (Cytokine receptor family 2 member 12) (CRF2-12) (Interleukin-28 receptor subunit alpha) (IL-28 receptor subunit alpha) (IL-28R-alpha) (IL-28RA) (Likely interleukin or cytokine receptor 2) (LICR2),IFNLR1 IL28RA LICR2,Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1),JAK1 JAK1A JAK1B,Homo sapiens (Human),Homo sapiens (Human),2.57,N,N,Homo sapiens,Homo sapiens,E,E
201,allpdb0228,VNFD_AZOVI,VNFG_AZOVI,474,113,5N6Y,A,C,99,PF00148;,PF03139;,1,474,1,113,Nitrogenase vanadium-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 2 subunit alpha) (Nitrogenase component I),vnfD,Nitrogenase vanadium-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit delta) (Nitrogenase component I),vnfG,Azotobacter vinelandii,Azotobacter vinelandii,1.35,N,N,Azotobacter vinelandii,Azotobacter vinelandii,B,B
202,allpdb0229,VTI1B_MOUSE,STX8_RAT,232,236,1GL2,C,D,65,PF05008;,PF05739;,139,200,148,209,Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1),Vti1b Vti1l1,Syntaxin-8,Stx8,Mus musculus (Mouse),Rattus norvegicus (Rat),1.9,N,N,Mus musculus,Rattus norvegicus,E,E
203,allpdb0230,VAMP8_RAT,STX7_MOUSE,100,261,1GL2,A,B,69,PF00957;,PF05739;PF14523;,6,66,168,228,Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB),Vamp8,Syntaxin-7,Stx7 Syn7,Rattus norvegicus (Rat),Mus musculus (Mouse),1.9,N,N,Rattus norvegicus,Mus musculus,E,E
204,allpdb0231,VTI1B_MOUSE,STX7_MOUSE,232,261,1GL2,C,B,60,PF05008;,PF05739;PF14523;,139,200,168,228,Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1),Vti1b Vti1l1,Syntaxin-7,Stx7 Syn7,Mus musculus (Mouse),Mus musculus (Mouse),1.9,N,N,Mus musculus,Mus musculus,E,E
205,allpdb0232,VAMP8_RAT,STX8_RAT,100,236,1GL2,A,D,58,PF00957;,PF05739;,6,66,148,209,Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB),Vamp8,Syntaxin-8,Stx8,Rattus norvegicus (Rat),Rattus norvegicus (Rat),1.9,N,N,Rattus norvegicus,Rattus norvegicus,E,E
206,allpdb0233,FRDC_ECOLI,FRDB_ECOLI,131,244,1KF6,O,N,92,PF02300;,PF13085;PF13183;,2,131,2,244,Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein),frdC b4152 JW4113,Fumarate reductase iron-sulfur subunit (EC 1.3.5.1),frdB b4153 JW4114,Escherichia coli (strain K12),Escherichia coli (strain K12),2.7,N,N,Escherichia coli,Escherichia coli,B,B
207,allpdb0234,FRDA_ECOLI,FRDB_ECOLI,602,244,1KF6,M,N,193,PF00890;PF02910;,PF13085;PF13183;,1,602,2,244,Fumarate reductase flavoprotein subunit (EC 1.3.5.4),frdA b4154 JW4115,Fumarate reductase iron-sulfur subunit (EC 1.3.5.1),frdB b4153 JW4114,Escherichia coli (strain K12),Escherichia coli (strain K12),2.7,N,N,Escherichia coli,Escherichia coli,B,B
208,allpdb0235,FRDC_ECOLI,FRDD_ECOLI,131,119,1KF6,C,D,142,PF02300;,PF02313;,2,131,1,119,Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein),frdC b4152 JW4113,Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein),frdD b4151 JW4112,Escherichia coli (strain K12),Escherichia coli (strain K12),2.7,N,N,Escherichia coli,Escherichia coli,B,B
209,allpdb0236,FRDD_ECOLI,FRDB_ECOLI,119,244,1KF6,D,B,48,PF02313;,PF13085;PF13183;,1,119,2,244,Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein),frdD b4151 JW4112,Fumarate reductase iron-sulfur subunit (EC 1.3.5.1),frdB b4153 JW4114,Escherichia coli (strain K12),Escherichia coli (strain K12),2.7,N,N,Escherichia coli,Escherichia coli,B,B
210,allpdb0237,COX2_RHOSH,P84153_RHOSH,303,266,1M56,B,I,21,PF00116;PF02790;,PF00510;,26,289,1,266,Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Oxidase aa(3) subunit 2),ctaC coxII ctaB,Cytochrome c oxidase polypeptide III (Cytochrome AA3 subunit 3) (EC 1.9.3.1),,Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides),Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides),2.3,N,N,Rhodobacter sphaeroides,Rhodobacter sphaeroides,B,B
211,allpdb0238,P84153_RHOSH,Q8KRK5_RHOSH,266,61,1M56,C,D,35,PF00510;,PF07835;,1,266,11,61,Cytochrome c oxidase polypeptide III (Cytochrome AA3 subunit 3) (EC 1.9.3.1),,Aa3-type cytochrome c oxidase subunit IV,coxIV,Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides),Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides),2.3,N,N,Rhodobacter sphaeroides,Rhodobacter sphaeroides,B,B
212,allpdb0239,DRA_HUMAN,Q48898_MYCAT,254,238,1R5I,A,D,48,PF07654;PF00993;,PF09245;,26,206,26,238,"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)",HLA-DRA HLA-DRA1,Superantigen,,Homo sapiens (Human),Mycoplasma arthritidis,2.6,N,N,Homo sapiens,Mycoplasma arthritidis,E,B
213,allpdb0243,IF4A3_HUMAN,CASC3_HUMAN,411,703,2HYI,C,D,123,PF00270;PF00271;,PF09405;,1,411,170,246,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",EIF4A3 DDX48 KIAA0111,Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz),CASC3 MLN51,Homo sapiens (Human),Homo sapiens (Human),2.3,N,N,Homo sapiens,Homo sapiens,E,E
214,allpdb0244,RBM8A_HUMAN,MGN_HUMAN,174,146,2HYI,H,G,79,PF00076;,PF02792;,64,154,1,146,RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A),RBM8A RBM8 HSPC114 MDS014,Protein mago nashi homolog,MAGOH MAGOHA,Homo sapiens (Human),Homo sapiens (Human),2.3,N,N,Homo sapiens,Homo sapiens,E,E
215,allpdb0245,MGN_HUMAN,CASC3_HUMAN,146,703,2HYI,A,D,20,PF02792;,PF09405;,1,146,170,246,Protein mago nashi homolog,MAGOH MAGOHA,Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz),CASC3 MLN51,Homo sapiens (Human),Homo sapiens (Human),2.3,N,N,Homo sapiens,Homo sapiens,E,E
216,allpdb0246,IF4A3_HUMAN,MGN_HUMAN,411,146,2HYI,I,G,107,PF00270;PF00271;,PF02792;,1,411,1,146,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",EIF4A3 DDX48 KIAA0111,Protein mago nashi homolog,MAGOH MAGOHA,Homo sapiens (Human),Homo sapiens (Human),2.3,N,N,Homo sapiens,Homo sapiens,E,E
217,allpdb0247,VAMP4_MOUSE,STX6_HUMAN,141,255,2NPS,A,D,58,PF00957;,PF05739;PF09177;,47,117,169,234,Vesicle-associated membrane protein 4 (VAMP-4),Vamp4,Syntaxin-6,STX6,Mus musculus (Mouse),Homo sapiens (Human),2.5,N,N,Mus musculus,Homo sapiens,E,E
218,allpdb0248,VTI1A_RAT,STX6_HUMAN,224,255,2NPS,C,D,80,PF05008;,PF05739;PF09177;,122,199,169,234,Vesicle transport through interaction with t-SNAREs homolog 1A (Vesicle transport v-SNARE protein Vti1-like 2) (Vti1-rp2),Vti1a Vti1l2,Syntaxin-6,STX6,Rattus norvegicus (Rat),Homo sapiens (Human),2.5,N,N,Rattus norvegicus,Homo sapiens,E,E
219,allpdb0249,STP22_YEAST,SRN2_YEAST,385,213,2P22,A,C,209,PF05743;PF09454;,PF07200;,214,385,22,213,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),STP22 VPS23 YCL008C YCL8C,Protein SRN2 (ESCRT-I complex subunit VPS37) (Vacuolar protein sorting-associated protein 37),SRN2 SRN10 VPS37 YLR119W L2958 L9233.5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.7,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
220,allpdb0250,VPS28_YEAST,STP22_YEAST,242,385,2P22,B,A,104,PF03997;,PF05743;PF09454;,1,118,214,385,Vacuolar protein sorting-associated protein 28 (ESCRT-I complex subunit VPS28),VPS28 VPT28 YPL065W LPE5W,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),STP22 VPS23 YCL008C YCL8C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.7,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
221,allpdb0251,STP22_YEAST,MVB12_YEAST,385,101,2P22,A,D,89,PF05743;PF09454;,PF09452;,214,385,4,81,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),STP22 VPS23 YCL008C YCL8C,Multivesicular body sorting factor 12 (12 kDa multivesicular body sorting factor) (ESCRT-I complex subunit MVB12),MVB12 YGR206W G7740,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.7,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
222,allpdb0252,SRN2_YEAST,MVB12_YEAST,213,101,2P22,C,D,132,PF07200;,PF09452;,22,213,4,81,Protein SRN2 (ESCRT-I complex subunit VPS37) (Vacuolar protein sorting-associated protein 37),SRN2 SRN10 VPS37 YLR119W L2958 L9233.5,Multivesicular body sorting factor 12 (12 kDa multivesicular body sorting factor) (ESCRT-I complex subunit MVB12),MVB12 YGR206W G7740,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.7,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
223,allpdb0254,NDSFS_EUBBA,NDLMS_EUBBA,157,425,3HRD,D,A,77,PF00111;PF01799;,PF01315;PF02738;,1,157,1,425,Nicotinate dehydrogenase small FeS subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase small FeS subunit) (NAH),ndhS,Nicotinate dehydrogenase large molybdopterin subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase large molybdopterin subunit) (NAH),ndhL,Eubacterium barkeri (Clostridium barkeri),Eubacterium barkeri (Clostridium barkeri),2.2,N,N,Eubacterium barkeri,Eubacterium barkeri,B,B
224,allpdb0255,NDSFS_EUBBA,NDMMS_EUBBA,157,330,3HRD,H,F,62,PF00111;PF01799;,PF02738;,1,157,1,330,Nicotinate dehydrogenase small FeS subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase small FeS subunit) (NAH),ndhS,Nicotinate dehydrogenase medium molybdopterin subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase medium molybdopterin subunit) (NAH),ndhM,Eubacterium barkeri (Clostridium barkeri),Eubacterium barkeri (Clostridium barkeri),2.2,N,N,Eubacterium barkeri,Eubacterium barkeri,B,B
225,allpdb0256,NDSFS_EUBBA,NDFS_EUBBA,157,296,3HRD,H,G,88,PF00111;PF01799;,PF03450;PF00941;,1,157,1,296,Nicotinate dehydrogenase small FeS subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase small FeS subunit) (NAH),ndhS,Nicotinate dehydrogenase FAD-subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase FAD-subunit) (NAH),ndhF,Eubacterium barkeri (Clostridium barkeri),Eubacterium barkeri (Clostridium barkeri),2.2,N,N,Eubacterium barkeri,Eubacterium barkeri,B,B
226,allpdb0257,NTPB_ENTHA,NTPD_ENTHA,458,210,3VR4,D,G,31,PF00006;PF02874;,PF01813;,1,458,1,210,V-type sodium ATPase subunit B (Na(+)-translocating ATPase subunit B) (V-type sodium pump subunit B),ntpB EHR_08265,V-type sodium ATPase subunit D (Na(+)-translocating ATPase subunit D) (V-type sodium pump subunit D),ntpD EHR_08270,Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),2.17,N,N,Enterococcus hirae,Enterococcus hirae,B,B
227,allpdb0258,NTPD_ENTHA,NTPG_ENTHA,210,103,3VR4,G,H,146,PF01813;,PF01990;,1,210,1,103,V-type sodium ATPase subunit D (Na(+)-translocating ATPase subunit D) (V-type sodium pump subunit D),ntpD EHR_08270,V-type sodium ATPase subunit G (Na(+)-translocating ATPase subunit G) (V-type sodium pump subunit G),ntpG ntpQ EHR_08255,Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),2.17,N,N,Enterococcus hirae,Enterococcus hirae,B,B
228,allpdb0260,NTPA_ENTHA,NTPD_ENTHA,593,210,3VR4,C,G,28,PF00006;PF02874;PF16886;,PF01813;,1,593,1,210,V-type sodium ATPase catalytic subunit A (EC 3.6.3.15) (Na(+)-translocating ATPase subunit A) (V-type sodium pump catalytic subunit A),ntpA EHR_08260,V-type sodium ATPase subunit D (Na(+)-translocating ATPase subunit D) (V-type sodium pump subunit D),ntpD EHR_08270,Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),2.17,N,N,Enterococcus hirae,Enterococcus hirae,B,B
229,allpdb0261,CCNT1_HUMAN,AFF4_HUMAN,726,1163,4OR5,B,E,106,PF00134;,PF05110;,1,266,32,69,Cyclin-T1 (CycT1) (Cyclin-T),CCNT1,AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein),AFF4 AF5Q31 MCEF HSPC092,Homo sapiens (Human),Homo sapiens (Human),2.9,N,N,Homo sapiens,Homo sapiens,E,E
230,allpdb0262,CDK9_HUMAN,CCNT1_HUMAN,372,726,4OR5,F,G,73,PF00069;,PF00134;,7,332,1,266,Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit),CDK9 CDC2L4 TAK,Cyclin-T1 (CycT1) (Cyclin-T),CCNT1,Homo sapiens (Human),Homo sapiens (Human),2.9,N,N,Homo sapiens,Homo sapiens,E,E
